[29/500][0/12]	Loss_D: 0.8615	Loss_G: 6.6979	D(x): 0.9913	D(G(z)): 0.4835 / 0.0029
[30/500][0/12]	Loss_D: 0.8700	Loss_G: 7.1233	D(x): 0.9229	D(G(z)): 0.4784 / 0.0027
[31/500][0/12]	Loss_D: 0.4619	Loss_G: 5.6251	D(x): 0.9613	D(G(z)): 0.2875 / 0.0056
[32/500][0/12]	Loss_D: 0.5267	Loss_G: 5.5232	D(x): 0.9589	D(G(z)): 0.2991 / 0.0129
[33/500][0/12]	Loss_D: 0.9551	Loss_G: 7.8268	D(x): 0.9489	D(G(z)): 0.5028 / 0.0045
[34/500][0/12]	Loss_D: 0.9557	Loss_G: 6.9924	D(x): 0.9774	D(G(z)): 0.4992 / 0.0027
[35/500][0/12]	Loss_D: 4.6719	Loss_G: 5.9601	D(x): 0.9915	D(G(z)): 0.9476 / 0.0091
[36/500][0/12]	Loss_D: 0.5832	Loss_G: 3.8065	D(x): 0.9802	D(G(z)): 0.3246 / 0.0512
[37/500][0/12]	Loss_D: 0.2625	Loss_G: 3.2747	D(x): 0.9055	D(G(z)): 0.1395 / 0.0482
[38/500][0/12]	Loss_D: 0.1950	Loss_G: 3.4941	D(x): 0.9213	D(G(z)): 0.0926 / 0.0448
[39/500][0/12]	Loss_D: 0.6859	Loss_G: 4.9151	D(x): 0.8448	D(G(z)): 0.3498 / 0.0127
[40/500][0/12]	Loss_D: 1.0293	Loss_G: 6.0242	D(x): 0.9113	D(G(z)): 0.5373 / 0.0100
[41/500][0/12]	Loss_D: 0.7112	Loss_G: 5.5464	D(x): 0.9644	D(G(z)): 0.4416 / 0.0091
[42/500][0/12]	Loss_D: 0.6679	Loss_G: 2.5467	D(x): 0.5753	D(G(z)): 0.0193 / 0.1156
[43/500][0/12]	Loss_D: 1.3536	Loss_G: 8.2489	D(x): 0.9959	D(G(z)): 0.6725 / 0.0017
[44/500][0/12]	Loss_D: 0.6904	Loss_G: 6.1656	D(x): 0.9795	D(G(z)): 0.4433 / 0.0089
[45/500][0/12]	Loss_D: 0.1879	Loss_G: 4.9179	D(x): 0.8865	D(G(z)): 0.0567 / 0.0164
[46/500][0/12]	Loss_D: 0.3626	Loss_G: 5.2305	D(x): 0.9799	D(G(z)): 0.2736 / 0.0111
[47/500][0/12]	Loss_D: 0.2295	Loss_G: 2.4781	D(x): 0.9391	D(G(z)): 0.1356 / 0.1408
[48/500][0/12]	Loss_D: 0.3165	Loss_G: 2.5886	D(x): 0.8059	D(G(z)): 0.0753 / 0.1040
[49/500][0/12]	Loss_D: 0.3803	Loss_G: 5.1641	D(x): 0.9607	D(G(z)): 0.2598 / 0.0098
[50/500][0/12]	Loss_D: 0.2037	Loss_G: 3.6654	D(x): 0.8853	D(G(z)): 0.0685 / 0.0396
[51/500][0/12]	Loss_D: 1.9070	Loss_G: 8.7487	D(x): 0.9810	D(G(z)): 0.7108 / 0.0032
[52/500][0/12]	Loss_D: 0.3614	Loss_G: 2.0065	D(x): 0.7775	D(G(z)): 0.0808 / 0.1913
